Date,Not indexed,Indexed,Impressions
2026-01-27,58,14,23
2026-01-28,49,23,47
2026-01-29,49,23,43
2026-01-30,49,23,45
2026-01-31,49,23,48
2026-02-01,50,23,67
2026-02-02,50,23,47
2026-02-03,50,23,70
2026-02-04,49,34,106
2026-02-05,49,34,142
2026-02-06,49,34,128
2026-02-07,49,34,88
2026-02-08,49,42,57
2026-02-09,49,42,74
2026-02-10,49,42,194
2026-02-11,50,41,144
2026-02-12,50,41,132
2026-02-13,50,41,91
2026-02-14,50,41,88
2026-02-15,50,41,113
2026-02-16,50,41,150
2026-02-17,50,41,132
2026-02-18,51,40,165
2026-02-19,51,40,91
2026-02-20,51,40,133
2026-02-21,51,40,162
2026-02-22,52,40,109
2026-02-23,52,40,128
2026-02-24,52,40,146
2026-02-25,53,39,148
2026-02-26,53,39,174
2026-02-27,53,39,163
2026-02-28,53,39,93
2026-03-01,53,39,142
2026-03-02,53,39,147
2026-03-03,53,39,225
2026-03-04,55,37,178
2026-03-05,55,37,120
2026-03-06,55,37,124
2026-03-07,55,37,204
2026-03-08,59,33,187
2026-03-09,59,33,142
2026-03-10,59,33,196
2026-03-11,65,29,180
2026-03-12,65,29,114
2026-03-13,65,29,161
2026-03-14,65,29,169
2026-03-15,65,29,175
2026-03-16,66,80,171
2026-03-17,66,80,352
2026-03-18,191,113,319
2026-03-19,191,113,354
2026-03-20,191,113,243
2026-03-21,191,113,245
2026-03-22,177,112,255
2026-03-23,177,112,195
2026-03-24,177,112,397
2026-03-25,180,132,246
2026-03-26,180,132,622
2026-03-27,180,132,229
2026-03-28,180,132,262
2026-03-29,195,142,306
2026-03-30,195,142,391
2026-03-31,195,142,218
2026-04-01,184,157,348
2026-04-02,184,157,283
2026-04-03,184,157,262
2026-04-04,184,157,291
2026-04-05,188,157,285
2026-04-06,188,157,238
2026-04-07,195,158,276
2026-04-08,195,158,218
2026-04-09,195,158,351
2026-04-10,195,158,280
2026-04-11,195,158,283
2026-04-12,195,158,219
2026-04-13,195,158,250
2026-04-14,206,153,283
2026-04-15,206,153,279
2026-04-16,206,153,274
2026-04-17,206,153,315
2026-04-18,210,149,309
2026-04-19,210,149,243
2026-04-20,210,149,243
2026-04-21,226,134,222
2026-04-22,226,134,296
2026-04-23,226,134,317
2026-04-24,226,134,209
