Country,Clicks,Impressions,CTR,Position
United States,1,308,0.32%,36.73
United Kingdom,1,20,5%,9.3
India,0,17,0%,18.59
Canada,0,13,0%,22.23
South Africa,0,11,0%,6.18
Spain,0,11,0%,7.64
Brazil,0,9,0%,15.22
United Arab Emirates,0,9,0%,35.11
Singapore,0,8,0%,8.25
Saudi Arabia,0,8,0%,25.75
Japan,0,7,0%,7.14
Germany,0,7,0%,8.86
Indonesia,0,7,0%,26.29
South Korea,0,6,0%,7.67
France,0,6,0%,8.17
Nigeria,0,6,0%,19.33
Turkey,0,6,0%,20.67
Malaysia,0,6,0%,24.17
Norway,0,5,0%,8.2
Pakistan,0,5,0%,18.8
Netherlands,0,4,0%,5.5
Poland,0,4,0%,5.5
Italy,0,4,0%,8.5
Oman,0,4,0%,23.5
Romania,0,3,0%,6
Ukraine,0,3,0%,8
Israel,0,3,0%,16.67
Thailand,0,3,0%,23.67
Morocco,0,3,0%,24.33
Colombia,0,3,0%,32.67
Ecuador,0,3,0%,42.33
Switzerland,0,2,0%,5.5
Czechia,0,2,0%,6.5
Taiwan,0,2,0%,7.5
Croatia,0,2,0%,9.5
Mexico,0,2,0%,9.5
Finland,0,2,0%,11
Vietnam,0,2,0%,11.5
Bangladesh,0,2,0%,22.5
Portugal,0,2,0%,25.5
Trinidad & Tobago,0,2,0%,29.5
Philippines,0,2,0%,33
Bulgaria,0,2,0%,49
Austria,0,1,0%,1
Montenegro,0,1,0%,2
Jordan,0,1,0%,3
Australia,0,1,0%,4
Barbados,0,1,0%,5
Ghana,0,1,0%,5
St. Lucia,0,1,0%,5
Belgium,0,1,0%,6
Zimbabwe,0,1,0%,6
Cambodia,0,1,0%,7
Swaziland,0,1,0%,7
China,0,1,0%,8
Qatar,0,1,0%,8
Chile,0,1,0%,9
Greece,0,1,0%,9
Hungary,0,1,0%,9
Libya,0,1,0%,9
Serbia,0,1,0%,9
Slovakia,0,1,0%,9
Caribbean Netherlands,0,1,0%,10
Kazakhstan,0,1,0%,10
Russia,0,1,0%,10
Yemen,0,1,0%,10
Cyprus,0,1,0%,11
Egypt,0,1,0%,20
Algeria,0,1,0%,36
Venezuela,0,1,0%,37
Kenya,0,1,0%,50
Argentina,0,1,0%,66
