Date,Clicks,Impressions,CTR,Position
2026-01-24,0,8,0%,14.8
2026-01-25,0,13,0%,8.3
2026-01-26,0,19,0%,14.6
2026-01-27,0,23,0%,27.8
2026-01-28,0,47,0%,41.8
2026-01-29,0,43,0%,43.9
2026-01-30,0,45,0%,50.3
2026-01-31,0,48,0%,44.1
2026-02-01,0,67,0%,42.2
2026-02-02,0,47,0%,40.2
2026-02-03,0,70,0%,25.4
2026-02-04,1,106,0.94%,26.1
2026-02-05,2,142,1.41%,29.8
2026-02-06,0,128,0%,33.9
2026-02-07,0,88,0%,18.8
2026-02-08,0,57,0%,9.5
2026-02-09,2,74,2.7%,16.9
2026-02-10,1,194,0.52%,19.7
2026-02-11,1,144,0.69%,26.5
2026-02-12,0,132,0%,25.7
2026-02-13,2,91,2.2%,21.1
2026-02-14,0,88,0%,21.7
2026-02-15,1,113,0.88%,22.6
2026-02-16,2,150,1.33%,19.9
2026-02-17,1,132,0.76%,26.5
2026-02-18,0,165,0%,25.3
2026-02-19,1,91,1.1%,21.5
2026-02-20,0,133,0%,28.9
2026-02-21,0,162,0%,20.9
2026-02-22,0,109,0%,24.8
2026-02-23,0,128,0%,17.9
2026-02-24,1,146,0.68%,18.7
2026-02-25,2,148,1.35%,14.1
2026-02-26,2,174,1.15%,15.9
2026-02-27,0,163,0%,15
2026-02-28,2,93,2.15%,22.4
2026-03-01,2,142,1.41%,20.8
2026-03-02,2,147,1.36%,25.2
2026-03-03,1,225,0.44%,16.9
2026-03-04,1,178,0.56%,20.6
2026-03-05,1,120,0.83%,20.5
2026-03-06,2,124,1.61%,21.7
2026-03-07,3,204,1.47%,16.1
2026-03-08,1,187,0.53%,25.4
2026-03-09,1,142,0.7%,24.6
2026-03-10,0,196,0%,23.9
2026-03-11,0,180,0%,19.8
2026-03-12,1,114,0.88%,17.6
2026-03-13,0,161,0%,21
2026-03-14,0,169,0%,26.3
2026-03-15,0,175,0%,29.2
2026-03-16,4,171,2.34%,27.4
2026-03-17,3,352,0.85%,28
2026-03-18,1,319,0.31%,27.2
2026-03-19,0,354,0%,27.9
2026-03-20,0,243,0%,24.2
2026-03-21,0,245,0%,30.3
2026-03-22,2,255,0.78%,25.6
2026-03-23,1,195,0.51%,19.6
2026-03-24,0,397,0%,30.1
2026-03-25,3,246,1.22%,26.6
2026-03-26,1,622,0.16%,39.3
2026-03-27,0,229,0%,21.8
2026-03-28,0,262,0%,24
2026-03-29,6,306,1.96%,18.8
2026-03-30,1,391,0.26%,17.3
2026-03-31,3,218,1.38%,16.8
2026-04-01,4,348,1.15%,14
2026-04-02,1,283,0.35%,21.3
2026-04-03,1,262,0.38%,17.6
2026-04-04,3,291,1.03%,19.8
2026-04-05,0,285,0%,12.3
2026-04-06,0,238,0%,13.1
2026-04-07,4,276,1.45%,13.1
2026-04-08,4,218,1.83%,15.1
2026-04-09,2,351,0.57%,19.4
2026-04-10,1,280,0.36%,14.6
2026-04-11,4,283,1.41%,14.2
2026-04-12,2,219,0.91%,13.7
2026-04-13,4,250,1.6%,14.4
2026-04-14,5,283,1.77%,15.8
2026-04-15,0,279,0%,13.9
2026-04-16,0,274,0%,16.7
2026-04-17,3,315,0.95%,13.4
2026-04-18,2,309,0.65%,16
2026-04-19,3,243,1.23%,15.5
2026-04-20,2,243,0.82%,14.1
2026-04-21,3,222,1.35%,11.7
2026-04-22,3,296,1.01%,17.5
2026-04-23,0,317,0%,12.8
