table_name,column_name,data_type,is_nullable,column_default
mock_exams,id,uuid,NO,gen_random_uuid()
mock_exams,user_id,uuid,NO,null
mock_exams,total_questions,integer,NO,180
mock_exams,attempted_count,integer,NO,0
mock_exams,correct_count,integer,NO,0
mock_exams,time_taken_seconds,integer,YES,null
mock_exams,results_by_topic,jsonb,YES,null
mock_exams,completed_at,timestamp with time zone,YES,now()
mock_exams,created_at,timestamp with time zone,YES,now()
practice_sessions,id,uuid,NO,gen_random_uuid()
practice_sessions,user_id,uuid,NO,null
practice_sessions,total_questions,integer,NO,null
practice_sessions,attempted_count,integer,NO,null
practice_sessions,correct_count,integer,NO,null
practice_sessions,categories,ARRAY,YES,'{}'::text[]
practice_sessions,completed_at,timestamp with time zone,YES,now()
practice_sessions,created_at,timestamp with time zone,YES,now()
questions,id,uuid,NO,gen_random_uuid()
questions,topic_area,text,NO,null
questions,subtopic,text,YES,null
questions,difficulty_level,text,NO,null
questions,question_text,text,NO,null
questions,option_a,text,NO,null
questions,option_b,text,NO,null
questions,option_c,text,NO,null
questions,correct_answer,text,NO,null
questions,explanation,text,NO,null
questions,keywords,ARRAY,YES,'{}'::text[]
questions,is_active,boolean,YES,true
questions,created_at,timestamp with time zone,YES,now()
questions,created_by,uuid,YES,null
questions,updated_at,timestamp with time zone,YES,now()
questions,learning_objective_id,text,YES,null
questions,source,text,YES,null
questions,has_table,boolean,YES,false
questions,table_data,jsonb,YES,null
user_profiles,id,uuid,NO,null
user_profiles,email,text,YES,null
user_profiles,full_name,text,YES,null
user_profiles,exam_date,date,YES,null
user_profiles,exam_level,text,YES,'Level I'::text
user_profiles,study_goal,integer,YES,2
user_profiles,created_at,timestamp with time zone,YES,now()
user_profiles,updated_at,timestamp with time zone,YES,now()
user_profiles,stripe_customer_id,text,YES,null
user_profiles,trial_ends_at,timestamp with time zone,YES,null
user_profiles,subscription_status,text,YES,'trialing'::text
user_profiles,subscription_plan,text,YES,'free'::text
user_profiles,current_period_end,timestamp with time zone,YES,null
user_profiles,cancel_at,timestamp with time zone,YES,null
user_question_attempts,id,uuid,NO,gen_random_uuid()
user_question_attempts,user_id,uuid,NO,null
user_question_attempts,question_id,uuid,NO,null
user_question_attempts,session_id,uuid,YES,null
user_question_attempts,selected_answer,text,NO,null
user_question_attempts,is_correct,boolean,NO,null
user_question_attempts,topic_area,text,YES,null
user_question_attempts,attempted_at,timestamp with time zone,YES,now()
user_question_attempts,created_at,timestamp with time zone,YES,now()
